Data Source,World Development Indicators,,,
,,,,
Last Updated Date,2026-04-08,,,
,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2024
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,4265650673.00236
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,1242693542929.85
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,736384961061523
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,100998916781079
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,27046429296.6673
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,4039842405.48117
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,3735881442514.34
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,552324846834581
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,638365455340.04
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,25955275380.0321
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,2207622874.07407
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1757022451652.83
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,534790720466822
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,74315882352.9412
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,3082433067.32634
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,671370081636406
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,21482643706.4249
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,23124729853.0218
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,450119432068852
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,113343355779985
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,47109734308.5106
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,15832800000
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,29613572022.8993
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,75961865471.9129
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,3203631800
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,9233600000
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,54881327452.9667
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,2185821648943.86
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,7498050000
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,15340808592.48
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,19402063512.9066
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,2751494281.06887
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,2243636826633.76
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,2462005273603.48
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,936564198048516
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,330267137371592
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,18743803170827.2
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,87113179149284
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,53296694320.2057
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,70962185790.7094
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,15719986076.6464
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,418818154879271
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,1440991455.45188
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,2725414150.72735
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,95350423176.5962
Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,90344593407.0488
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,3561178196.20713
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,37634533331.8902
Czechia,CZE,GDP (current US$),NY.GDP.MKTP.CD,347034062928479
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,4685592577804.69
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,4152145939.98458
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,688881481.481481
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,424524722037047
