r,m,n_eq
81,1,4
3,1,2
27,1,2
81,5,5
9,1,2
21,0,3
243,0,5
567,0,5
9,0,1
9,1,4
9,1,2
243,1,4
9,2,3
81,5,4
27,3,4
21,5,5
27,4,4
27,2,4
3,0,4
567,2,3
2187,2,5
21,3,4
3,1,2
567,3,5
343,1,6
27,1,5
1323,7,6
21,4,5
5103,3,5
9,2,4
9,0,2
3,0,3
3,2,3
1701,2,4
9,1,3
3,3,4
27,4,4
15,4,5
27,6,5
9,3,2
81,0,2
27,0,2
9,2,5
1701,4,4
27,4,4
1701,2,6
9,4,4
189,4,6
63,0,3
9,1,2
441,1,6
3,5,4
567,1,2
3,1,2
321489,5,7
7,2,3
9,1,5
189,2,3
3,2,4
27,2,4
81,1,4
3,0,1
729,3,5
27,1,4
1,0,1
27,2,3
81,1,3
9,2,4
21,2,4
189,2,5
27,0,1
27,5,5
3,5,4
3,0,3
27,5,6
243,0,5
583443,6,7
3,1,2
27,0,3
3,1,2
27,2,3
81,4,5
49,4,4
9,1,2
3,0,3
27,0,1
27,4,3
21,4,4
11907,6,6
7203,2,3
3,1,2
9,0,2
147,5,5
441,0,4
27,3,3
27,1,3
321489,3,6
441,2,5
27,2,3
27,0,3
9,0,1
27,1,3
9,5,3
3,1,3
5103,4,6
7203,4,5
243,1,3
189,4,6
21,1,3
1,3,4
9,0,3
729,2,4
729,4,5
15,2,3
694575,7,6
9,2,3
5103,2,4
27,1,3
27,2,3
9,0,3
27,2,3
27,1,2
9,2,2
27,2,3
9,1,2
1,3,3
81,3,3
81,1,2
27,1,3
567,1,5
81,3,3
9,1,4
567,5,4
9,1,3
3,3,2
189,4,6
3,1,3
64827,5,6
81,0,4
147,3,4
5103,1,5
7,2,4
3,1,2
1323,1,4
27,1,3
5103,5,6
189,2,5
27,0,2
27,0,3
567,3,3
27,1,3
1,0,1
9,2,3
243,0,3
81,0,4
81,1,3
441,7,7
81,0,3
3,4,4
9,0,2
1,1,2
81,2,4
9,1,3
27,0,4
27,3,4
1,1,3
3,1,3
63,1,5
81,0,3
3,0,4
729,1,5
4862025,4,8
9,0,4
27,4,5
3,2,3
189,0,4
567,4,6
27,1,3
27,2,3
81,1,3
243,1,3
9,1,3
9,1,2
81,5,4
81,1,4
243,2,3
11907,3,5
81,2,4
9,3,3
8505,4,5
27,2,3
1,0,1
343,4,5
231525,7,6
27,2,3
243,3,4
1,0,1
15309,4,5
27,1,3
5103,2,4
1,0,2
27,3,5
1,1,1
64827,2,6
7,4,4
729,1,4
81,2,4
1,0,1
5103,1,5
21,1,5
3,1,1
9,1,3
9,3,5
1701,4,3
27,3,5
3,1,2
9,4,3
9,2,4
9,2,4
1,0,2
1701,2,4
9,1,3
1,0,1
243,1,4
7,1,3
567,4,5
1701,1,5
81,0,3
441,1,4
3,0,2
81,0,3
27,2,4
21,3,4
147,4,4
1,1,2
81,4,4
27,2,3
9,1,3
27,1,2
9,1,3
9,1,2
27,1,2
4084101,7,6
9,2,4
9,4,4
81,1,3
1,1,1
1701,3,6
81,2,4
81,1,3
81,4,3
15309,2,4
729,4,5
243,3,3
15309,4,5
21,1,3
3,3,3
7,2,4
3,2,2
27,1,2
6561,2,5
729,3,4
5103,5,6
729,1,6
9,2,3
81,0,3
9,0,3
1,3,4
567,2,4
9,0,5
189,1,3
9,1,3
9,0,3
567,1,4
81,0,3
81,0,3
243,2,3
9,2,2
1,1,1
21,3,5
81,4,5
45927,2,5
81,1,3
63,3,4
12252303,7,7
6251175,5,7
243,2,6
1701,3,4
3,0,2
189,3,3
81,0,3
243,2,4
21,1,2
63,3,5
27,0,3
567,2,5
27,2,4
567,1,3
9,2,3
6561,1,4
7203,2,4
243,1,5
1,0,1
5103,4,6
729,0,5
81,0,3
243,0,4
567,1,3
81,1,3
21,2,3
243,2,4
63,5,5
3,2,2
81,0,4
567,4,6
27,5,5
27,2,3
729,5,6
243,1,4
1,0,3
9,0,2
27,3,3
27,2,4
3,1,2
21,1,3
567,3,3
7,3,4
567,1,4
63,3,5
1,0,1
15309,2,5
27,1,2
45,3,4
189,3,4
81,0,4
9,4,3
9,3,3
1,0,2
729,2,5
27,0,3
189,1,2
3,3,3
27,7,5
27,0,4
27,0,3
729,1,4
81,1,5
1,0,1
9,0,2
27,2,3
27,3,2
243,0,5
81,3,4
49,0,3
9,3,2
9,0,4
243,0,4
729,2,3
81,1,3
729,1,3
27,2,4
189,2,5
405,3,5
9,2,3
9,2,3
567,3,6
45927,3,7
81,3,3
1,2,2
729,1,4
27,2,2
567,2,5
9,2,3
567,2,3
3087,3,7
729,3,5
1,0,3
27,0,3
63,4,4
27,1,3
3,1,2
27,2,4
81,0,4
2187,1,5
27,1,2
81,1,4
7,1,3
27,2,5
3,3,2
1,0,2
81,0,2
7,2,3
81,3,6
1701,1,5
81,1,2
63,4,4
9,0,2
27,1,3
81,2,5
45927,1,5
3,1,3
15309,2,6
243,2,4
567,3,5
567,1,4
49,7,5
81,0,3
27,3,2
189,3,4
243,1,5
3,0,1
27,2,4
5103,7,6
81,3,3
9,0,3
27,2,4
81,2,4
27,5,4
9,0,2
81,0,5
21,4,4
81,6,6
81,1,4
9,0,2
9,3,3
441,2,6
9,2,2
1,0,0
3,2,3
81,3,4
15309,1,4
81,7,4
27,2,3
9,1,5
1,0,2
64827,3,4
27,1,4
27,2,3
76545,1,5
243,2,4
9,0,2
1701,3,5
1,0,2
21,0,4
9,1,3
11907,0,4
567,1,2
1,1,2
81,2,3
750141,5,8
3,2,2
243,1,5
27,1,2
5103,3,4
27,4,4
1,0,2
189,4,4
1,0,1
81,4,6
27,3,3
3,0,1
81,5,5
9,2,3
27,2,3
27,0,3
49,5,5
5103,1,5
21,2,3
27,1,4
1701,3,5
7,4,4
27,1,3
9,1,5
9,0,2
5103,2,4
1,0,0
81,0,2
189,1,2
3,4,5
27,3,3
9,0,3
1,0,2
567,1,4
6561,0,6
243,0,3
243,2,5
9,2,3
5103,1,5
189,3,2
1,1,2
189,4,7
81,2,5
27,3,4
1,0,1
9,1,5
9,0,2
27,0,5
27,0,2
567,4,4
9,1,2
9,2,3
27,7,5
1701,4,5
231525,6,6
21,3,4
189,4,4
9,1,2
27,0,2
3,2,2
3,2,3
15309,3,4
2835,5,5
9,2,2
81,0,4
3,1,3
243,0,3
7,1,2
81,1,3
63,2,4
35721,3,5
21,2,3
81,2,3
729,0,5
5103,1,6
21609,7,5
1701,4,5
27,3,4
1,1,4
243,0,4
729,1,5
63,4,3
81,1,4
15309,2,6
7,0,2
1,0,3
9,5,5
81,0,3
21,5,5
81,2,2
27,5,4
21609,5,4
7,4,3
3,1,1
229635,5,7
135,2,5
567,1,5
1,2,1
1701,7,5
81,2,4
1,0,2
3,1,2
1701,5,6
3,2,2
1,0,0
7,0,3
81,3,4
3,0,1
63,5,6
81,3,5
81,4,4
453789,8,7
27,3,2
81,2,4
3969,5,6
189,3,3
81,2,4
27,3,4
27,2,3
27,0,3
27,0,2
567,3,4
9,0,1
107163,5,4
729,2,4
567,4,5
1,0,1
9,1,2
567,2,5
15309,2,4
3781575,7,7
1,0,1
63,4,5
81,2,3
9,0,2
81,1,3
27,1,3
1,0,1
567,2,5
3,1,2
243,1,3
27,3,5
6561,0,7
1,0,1
1323,6,5
1,0,1
